LivingArea,NumBedrooms,Pool,ClosePrice,DwellingType,num_baths
2230.0,4,Private,460000.0,Single Family - Detached,2.0
1601.0,3,Private,279900.0,Single Family - Detached,2.0
2440.0,4,None,228000.0,Single Family - Detached,2.5
3980.0,5,None,385250.0,Single Family - Detached,3.0
1243.0,3,None,159000.0,Single Family - Detached,2.0
1618.0,2,Community,214500.0,Patio Home,2.5
2243.0,3,Private,310000.0,Single Family - Detached,2.0
760.0,2,None,70000.0,Mfg/Mobile Housing,2.0
2258.0,4,None,230000.0,Single Family - Detached,2.0
1421.0,3,Community,149900.0,Single Family - Detached,2.0
3432.0,4,Private,215000.0,Single Family - Detached,2.5
1262.0,3,Community,140000.0,Single Family - Detached,2.5
1997.0,2,None,429900.0,Single Family - Detached,2.0
1958.0,3,Community,230000.0,Single Family - Detached,2.5
2502.0,3,Private,545000.0,Single Family - Detached,2.0
948.0,2,Community,140000.0,Patio Home,2.0
1850.0,3,Community,319900.0,Single Family - Detached,3.0
1263.0,3,None,164900.0,Single Family - Detached,2.0
2778.0,3,Private,570000.0,Single Family - Detached,2.0
1946.0,4,Private,195000.0,Single Family - Detached,2.0
1650.0,3,None,142000.0,Single Family - Detached,2.0
2192.0,4,None,156000.0,Single Family - Detached,2.5
2344.0,4,Private,490000.0,Single Family - Detached,3.0
2370.0,3,None,182500.0,Single Family - Detached,2.0
1566.0,3,Community,159900.0,Townhouse,3.0
1338.0,4,Private,128000.0,Single Family - Detached,2.0
1161.0,2,Community,76000.0,Townhouse,2.5
1392.0,3,None,149000.0,Single Family - Detached,2.0
1380.0,3,None,145000.0,Single Family - Detached,2.0
1899.0,4,Private,203900.0,Single Family - Detached,2.0
1734.0,3,None,174500.0,Single Family - Detached,2.0
2530.0,4,None,259000.0,Single Family - Detached,3.0
1827.0,2,Community,162500.0,Single Family - Detached,2.0
1750.0,3,None,289000.0,Single Family - Detached,2.5
2051.0,4,Private,344000.0,Single Family - Detached,2.0
1656.0,3,None,136000.0,Single Family - Detached,1.5
1772.0,5,None,235000.0,Single Family - Detached,2.0
2094.0,4,None,276000.0,Single Family - Detached,2.0
2221.0,4,Private,359500.0,Single Family - Detached,2.0
4275.0,4,Both Private & Community,627000.0,Single Family - Detached,3.5
1741.0,2,Community,160000.0,Single Family - Detached,2.0
4266.0,5,Both Private & Community,1140000.0,Single Family - Detached,4.5
1059.0,3,None,152000.0,Single Family - Detached,2.0
2589.0,5,Private,400000.0,Single Family - Detached,3.0
3039.0,4,Community,363000.0,Single Family - Detached,2.5
2267.0,4,Private,182900.0,Single Family - Detached,3.0
1941.0,3,None,171000.0,Single Family - Detached,2.5
1335.0,2,None,154900.0,Single Family - Detached,2.0
1916.0,3,None,120000.0,Single Family - Detached,2.0
4623.0,5,Private,457000.0,Single Family - Detached,3.5
4166.0,5,Private,348500.0,Single Family - Detached,3.0
1246.0,3,None,80000.0,Townhouse,2.0
2750.0,4,Private,282000.0,Single Family - Detached,3.0
1445.0,3,Community,207000.0,Single Family - Detached,2.0
2718.0,4,Private,357000.0,Single Family - Detached,3.0
2375.0,4,Private,164900.0,Single Family - Detached,3.0
2000.0,3,Private,500000.0,Single Family - Detached,2.0
1756.0,4,None,152700.0,Single Family - Detached,2.0
1234.0,3,Private,184000.0,Single Family - Detached,2.0
1457.0,3,Private,242500.0,Single Family - Detached,2.0
1221.0,2,Community,85000.0,Apartment Style/Flat,2.0
1570.0,4,None,195000.0,Single Family - Detached,2.0
863.0,2,Community,114900.0,Apartment Style/Flat,1.0
2009.0,3,Private,435000.0,Single Family - Detached,2.0
1930.0,3,Both Private & Community,289000.0,Single Family - Detached,2.0
1758.0,2,Community,154900.0,Single Family - Detached,2.0
3376.0,5,Private,405000.0,Single Family - Detached,3.5
2049.0,4,Private,276500.0,Single Family - Detached,2.0
3881.0,6,Private,443000.0,Single Family - Detached,3.5
1458.0,4,None,56000.0,Mfg/Mobile Housing,2.0
1480.0,3,None,145000.0,Single Family - Detached,2.5
1370.0,3,None,157500.0,Single Family - Detached,2.0
1953.0,3,Community,427000.0,Patio Home,2.0
4316.0,4,Private,360000.0,Single Family - Detached,3.5
1830.0,3,Private,230000.0,Single Family - Detached,2.0
2587.0,3,Community,560000.0,Single Family - Detached,3.0
2400.0,3,None,608000.0,Single Family - Detached,2.5
3300.0,4,None,500000.0,Single Family - Detached,4.0
1520.0,4,None,129500.0,Single Family - Detached,2.0
2220.0,3,Private,193000.0,Single Family - Detached,2.5
1438.0,2,Community,295000.0,Single Family - Detached,1.0
2294.0,4,None,157000.0,Single Family - Detached,2.0
1837.0,3,Private,232000.0,Single Family - Detached,2.0
2300.0,4,None,226990.0,Single Family - Detached,2.0
1832.0,3,None,145000.0,Single Family - Detached,2.0
1368.0,3,None,134950.0,Single Family - Detached,2.0
1613.0,4,None,135000.0,Single Family - Detached,2.0
1931.0,5,None,145000.0,Single Family - Detached,3.0
2325.0,3,None,186500.0,Single Family - Detached,2.0
1153.0,2,None,144000.0,Single Family - Detached,2.0
2137.0,3,None,198000.0,Single Family - Detached,2.0
1180.0,2,None,103500.0,Single Family - Detached,2.0
713.0,1,Community,118000.0,Apartment Style/Flat,1.0
1719.0,3,Private,279900.0,Single Family - Detached,2.5
2173.0,5,None,175000.0,Single Family - Detached,2.5
1582.0,3,None,111000.0,Single Family - Detached,2.0
2187.0,3,Community,310000.0,Single Family - Detached,2.0
1709.0,4,None,159900.0,Single Family - Detached,2.0
1142.0,3,None,127000.0,Single Family - Detached,1.0
1392.0,2,Community,145000.0,Townhouse,2.0
2400.0,3,Private,475000.0,Single Family - Detached,2.0
1536.0,3,None,135000.0,Single Family - Detached,2.0
1238.0,3,None,129900.0,Single Family - Detached,2.0
1680.0,3,Private,171000.0,Single Family - Detached,2.0
1475.0,3,None,230000.0,Single Family - Detached,2.0
5338.0,5,Private,1275000.0,Single Family - Detached,6.0
1001.0,3,None,55000.0,Single Family - Detached,1.0
1639.0,3,None,209000.0,Single Family - Detached,1.5
2038.0,4,None,172000.0,Single Family - Detached,2.0
2832.0,5,Private,192000.0,Single Family - Detached,4.0
1135.0,3,Community,180000.0,Single Family - Detached,2.0
