movie_id,old_title,title
1,Toy Story (1995),Toy Story
2,GoldenEye (1995),GoldenEye
3,Four Rooms (1995),Four Rooms
4,Get Shorty (1995),Get Shorty
5,Copycat (1995),Copycat
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad 
7,Twelve Monkeys (1995),Twelve Monkeys
8,Babe (1995),Babe
9,Dead Man Walking (1995),Dead Man Walking
10,Richard III (1995),Richard III
11,Seven (Se7en) (1995),Se7en
12,"Usual Suspects, The (1995)",The Usual Suspects
13,Mighty Aphrodite (1995),Mighty Aphrodite
14,"Postino, Il (1994)",Il Postino
15,Mr. Holland's Opus (1995),Mr. Holland's Opus
16,French Twist (Gazon maudit) (1995),French Twist
17,From Dusk Till Dawn (1996),From Dusk Till Dawn
18,"White Balloon, The (1995)",The White Balloon
19,Antonia's Line (1995),Antonia's Line
20,Angels and Insects (1995),Angels and Insects
21,Muppet Treasure Island (1996),Muppet Treasure Island
22,Braveheart (1995),Braveheart
23,Taxi Driver (1976),Taxi Driver
24,Rumble in the Bronx (1995),Rumble in the Bronx
25,"Birdcage, The (1996)",The Birdcage
26,"Brothers McMullen, The (1995)",The Brothers McMullen
27,Bad Boys (1995),Bad Boys
28,Apollo 13 (1995),Apollo 13
29,Batman Forever (1995),Batman Forever
30,Belle de jour (1967),Belle de jour
31,Crimson Tide (1995),Crimson Tide
32,Crumb (1994),Crumb
33,Desperado (1995),Desperado
34,"Doom Generation, The (1995)",The Doom Generation
35,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home
36,Mad Love (1995),Mad Love
37,Nadja (1994),Nadja
38,"Net, The (1995)",The Net
39,Strange Days (1995),Strange Days
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar"
41,Billy Madison (1995),Billy Madison
42,Clerks (1994),Clerks
43,Disclosure (1994),Disclosure
44,Dolores Claiborne (1994),Dolores Claiborne
45,Eat Drink Man Woman (1994),Eat Drink Man Woman
46,Exotica (1994),Exotica
47,Ed Wood (1994),Ed Wood
48,Hoop Dreams (1994),Hoop Dreams
49,I.Q. (1994),I.Q.
50,Star Wars (1977),Star Wars
51,Legends of the Fall (1994),Legends of the Fall
52,"Madness of King George, The (1994)",The Madness of King George
53,Natural Born Killers (1994),Natural Born Killers
54,Outbreak (1995),Outbreak
55,"Professional, The (1994)",The Professional
56,Pulp Fiction (1994),Pulp Fiction
57,Priest (1994),Priest
58,Quiz Show (1994),Quiz Show
59,Three Colors: Red (1994),Three Colors: Red
60,Three Colors: Blue (1993),Three Colors: Blue
61,Three Colors: White (1994),Three Colors: White
62,Stargate (1994),Stargate
63,"Santa Clause, The (1994)",The Santa Clause
64,"Shawshank Redemption, The (1994)",The Shawshank Redemption
65,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape
66,While You Were Sleeping (1995),While You Were Sleeping
67,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective
68,"Crow, The (1994)",The Crow
69,Forrest Gump (1994),Forrest Gump
70,Four Weddings and a Funeral (1994),Four Weddings and a Funeral
71,"Lion King, The (1994)",The Lion King
72,"Mask, The (1994)",The Mask
73,Maverick (1994),Maverick
74,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!
75,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X
76,Carlito's Way (1993),Carlito's Way
77,"Firm, The (1993)",The Firm
78,Free Willy (1993),Free Willy
79,"Fugitive, The (1993)",The Fugitive
80,Hot Shots! Part Deux (1993),Hot Shots! Part Deux
81,"Hudsucker Proxy, The (1994)",The Hudsucker Proxy
82,Jurassic Park (1993),Jurassic Park
83,Much Ado About Nothing (1993),Much Ado About Nothing
84,Robert A. Heinlein's The Puppet Masters (1994),Robert A. Heinlein's The Puppet Masters
85,"Ref, The (1994)",The Ref
86,"Remains of the Day, The (1993)",The Remains of the Day
87,Searching for Bobby Fischer (1993),Searching for Bobby Fischer
88,Sleepless in Seattle (1993),Sleepless in Seattle
89,Blade Runner (1982),Blade Runner
90,So I Married an Axe Murderer (1993),So I Married an Axe Murderer
91,"Nightmare Before Christmas, The (1993)",The Nightmare Before Christmas
