movie_id,title,clean_title,image_label
1,Toy Story,toy story,image_1.jpg
2,GoldenEye,goldeneye,image_2.jpg
3,Four Rooms,four rooms,image_3.jpg
4,Get Shorty,get shorty,image_4.jpg
5,Copycat,copycat,image_5.jpg
6,Shanghai Triad ,shanghai triad ,image_6.jpg
7,Twelve Monkeys,twelve monkeys,image_7.jpg
8,Babe,babe,image_8.jpg
9,Dead Man Walking,dead man walking,image_9.jpg
10,Richard III,richard iii,image_10.jpg
11,Se7en,se7en,image_11.jpg
12,The Usual Suspects,the usual suspects,image_12.jpg
13,Mighty Aphrodite,mighty aphrodite,image_13.jpg
14,Il Postino,il postino,image_14.jpg
15,Mr. Holland's Opus,mr. holland's opus,image_15.jpg
16,French Twist,french twist,image_16.jpg
17,From Dusk Till Dawn,from dusk till dawn,image_17.jpg
18,The White Balloon,the white balloon,image_18.jpg
19,Antonia's Line,antonia's line,image_19.jpg
20,Angels and Insects,angels and insects,image_20.jpg
21,Muppet Treasure Island,muppet treasure island,image_21.jpg
22,Braveheart,braveheart,image_22.jpg
23,Taxi Driver,taxi driver,image_23.jpg
24,Rumble in the Bronx,rumble in the bronx,image_24.jpg
25,The Birdcage,the birdcage,image_25.jpg
26,The Brothers McMullen,the brothers mcmullen,image_26.jpg
27,Bad Boys,bad boys,image_27.jpg
28,Apollo 13,apollo 13,image_28.jpg
29,Batman Forever,batman forever,image_29.jpg
30,Belle de jour,belle de jour,image_30.jpg
31,Crimson Tide,crimson tide,image_31.jpg
32,Crumb,crumb,image_32.jpg
33,Desperado,desperado,image_33.jpg
34,The Doom Generation,the doom generation,image_34.jpg
35,Free Willy 2: The Adventure Home,free willy 2: the adventure home,image_35.jpg
36,Mad Love,mad love,image_36.jpg
37,Nadja,nadja,image_37.jpg
38,The Net,the net,image_38.jpg
39,Strange Days,strange days,image_39.jpg
40,"To Wong Foo, Thanks for Everything! Julie Newmar","to wong foo, thanks for everything! julie newmar",image_40.jpg
41,Billy Madison,billy madison,image_41.jpg
42,Clerks,clerks,image_42.jpg
43,Disclosure,disclosure,image_43.jpg
44,Dolores Claiborne,dolores claiborne,image_44.jpg
45,Eat Drink Man Woman,eat drink man woman,image_45.jpg
46,Exotica,exotica,image_46.jpg
47,Ed Wood,ed wood,image_47.jpg
48,Hoop Dreams,hoop dreams,image_48.jpg
49,I.Q.,i.q.,image_49.jpg
50,Star Wars,star wars,image_50.jpg
51,Legends of the Fall,legends of the fall,image_51.jpg
52,The Madness of King George,the madness of king george,image_52.jpg
53,Natural Born Killers,natural born killers,image_53.jpg
54,Outbreak,outbreak,image_54.jpg
55,The Professional,the professional,image_55.jpg
56,Pulp Fiction,pulp fiction,image_56.jpg
57,Priest,priest,image_57.jpg
58,Quiz Show,quiz show,image_58.jpg
59,Three Colors: Red,three colors: red,image_59.jpg
60,Three Colors: Blue,three colors: blue,image_60.jpg
61,Three Colors: White,three colors: white,image_61.jpg
62,Stargate,stargate,image_62.jpg
63,The Santa Clause,the santa clause,image_63.jpg
64,The Shawshank Redemption,the shawshank redemption,image_64.jpg
65,What's Eating Gilbert Grape,what's eating gilbert grape,image_65.jpg
66,While You Were Sleeping,while you were sleeping,image_66.jpg
67,Ace Ventura: Pet Detective,ace ventura: pet detective,image_67.jpg
68,The Crow,the crow,image_68.jpg
69,Forrest Gump,forrest gump,image_69.jpg
70,Four Weddings and a Funeral,four weddings and a funeral,image_70.jpg
71,The Lion King,the lion king,image_71.jpg
72,The Mask,the mask,image_72.jpg
73,Maverick,maverick,image_73.jpg
74,Faster Pussycat! Kill! Kill!,faster pussycat! kill! kill!,image_74.jpg
75,Brother Minister: The Assassination of Malcolm X,brother minister: the assassination of malcolm x,image_75.jpg
76,Carlito's Way,carlito's way,image_76.jpg
77,The Firm,the firm,image_77.jpg
78,Free Willy,free willy,image_78.jpg
79,The Fugitive,the fugitive,image_79.jpg
80,Hot Shots! Part Deux,hot shots! part deux,image_80.jpg
81,The Hudsucker Proxy,the hudsucker proxy,image_81.jpg
82,Jurassic Park,jurassic park,image_82.jpg
83,Much Ado About Nothing,much ado about nothing,image_83.jpg
84,Robert A. Heinlein's The Puppet Masters,robert a. heinlein's the puppet masters,image_84.jpg
85,The Ref,the ref,image_85.jpg
86,The Remains of the Day,the remains of the day,image_86.jpg
87,Searching for Bobby Fischer,searching for bobby fischer,image_87.jpg
88,Sleepless in Seattle,sleepless in seattle,image_88.jpg
89,Blade Runner,blade runner,image_89.jpg
90,So I Married an Axe Murderer,so i married an axe murderer,image_90.jpg
91,The Nightmare Before Christmas,the nightmare before christmas,image_91.jpg
92,True Romance,true romance,image_92.jpg
93,Welcome to the Dollhouse,welcome to the dollhouse,image_93.jpg
94,Home Alone,home alone,image_94.jpg
95,Aladdin,aladdin,image_95.jpg
96,Terminator 2: Judgment Day,terminator 2: judgment day,image_96.jpg
97,Dances with Wolves,dances with wolves,image_97.jpg
98,The Silence of the Lambs,the silence of the lambs,image_98.jpg
99,Snow White and the Seven Dwarfs,snow white and the seven dwarfs,image_99.jpg
100,Fargo,fargo,image_100.jpg
101,Heavy Metal,heavy metal,image_101.jpg
102,The Aristocats,the aristocats,image_102.jpg
103,All Dogs Go to Heaven 2,all dogs go to heaven 2,image_103.jpg
104,Theodore Rex,theodore rex,image_104.jpg
105,Sgt. Bilko,sgt. bilko,image_105.jpg
106,Diabolique,diabolique,image_106.jpg
107,Moll Flanders,moll flanders,image_107.jpg
108,Kids in the Hall: Brain Candy,kids in the hall: brain candy,image_108.jpg
109,Mystery Science Theater 3000: The Movie,mystery science theater 3000: the movie,image_109.jpg
