movie_id,old_title,title,clean_title,poster_info,imdb_url,poster_url
1,Toy Story (1995),Toy Story,toy story,"(1, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
2,GoldenEye (1995),GoldenEye,goldeneye,"(2, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?GoldenEye%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
3,Four Rooms (1995),Four Rooms,four rooms,"(3, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
4,Get Shorty (1995),Get Shorty,get shorty,"(4, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5,Copycat (1995),Copycat,copycat,"(5, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNjkyMDJhM2EtYTA1ZC00MDY2LWFkYjktYjcxNzM0MWQ0NWEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR12,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Copycat%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNjkyMDJhM2EtYTA1ZC00MDY2LWFkYjktYjcxNzM0MWQ0NWEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR12,0,182,268_AL_.jpg"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad ,shanghai triad ,"(6, 'manual')",http://www.imdb.com/title/tt0115012/,manual
7,Twelve Monkeys (1995),Twelve Monkeys,twelve monkeys,"(7, 'https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
8,Babe (1995),Babe,babe,"(8, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Babe%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
9,Dead Man Walking (1995),Dead Man Walking,dead man walking,"(9, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
10,Richard III (1995),Richard III,richard iii,"(10, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzMwMzIxMF5BMl5BanBnXkFtZTYwNTM0Nzc5._V1_UY268_CR2,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Richard%20III%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzMwMzIxMF5BMl5BanBnXkFtZTYwNTM0Nzc5._V1_UY268_CR2,0,182,268_AL_.jpg"
