category,text
meetup,Just looking for someone to hold a conversation. Guy here
misc,Hey
meetup,Any single guys or girls in/near Spalding? Female here
meetup,where the white girls like this?
personal,I just don't feel very enthusiastic about anything in my life anymore. It really sucks.
relationships,"I swear to god, if my husband suggests giving the dog away one more time I will give him away."
lgbtq,gay / bi guys in delhi??
meetup,someone road trip with me to a mall ☺️
personal,I really do like Hispanic girls with class and thug girls too ....
relationships,I bought a puppy to fix our relationship. But he's still a heroin addict.
personal,Someone stopped me on my way to work & asked for my number. That was the most flattering yet terrifying moment of my life
meetup,Gonna be at mile 277 tonight to see The Well Hungarians and line dance anyone wanna come up it's gonna be a fun time 21M
meetup,Anybody wanna talk? Extremely bored
personal,I have never had a date on Valentine's Day. I hate hearing people complain about it! It's not really a big deal
qna,What do you get a guy for Valentines Day?
food,i need some white chocolate in my life
misc,English : hello French : bonjour Spanish : hola Me : sup bitch
personal,Im feeling really bad about myself tonight 
meetup,I'm 19 and I don't know where to meet girls who want a relationship. Any advice?
family,Mommies are the best.✨
personal,Feeling so sad and lost :( I hate my life
relationships,Why do I always fall for people who always end up treating me like crap. When can I find someone who won't do that!
misc,THE GAME
qna,Am I the only one who watches all special features on a movie just so I don't have to get up from being snuggled under my blanket?
misc,Shaved today... Not getting laid. Grrr
qna,If you could do it would you
animals,i do not know where my cat is this one^^^^
military,Only a Marine would know. Reminds me when I use to hold my canteen.
qna,"Guys :how do u feel about a girl who admitted she had feelings for u ,but you never spoke to her ever"
misc,Bogy
meetup,"Bored, text me ( only girls ) x"
meetup,Anyone wanna go to husk 22m
relationships,Sometimes I envy how my mom's friends tell me how they were married to their first boyfriend. That sounds pretty much like a fairy tale to me.
meetup,Anyone want to bring me food??
personal,"Whenever people are nice to me, I think they're just pulling a prank on me because of the way people used to treat me as a kid."
meetup,Any guys wanna chat {no nudes} ages only 14-18 please. 
relationships,Something I'll never understand is why guys cheat...I'm usually the one they cheat with and I just pick the wrong guys but I don't get why they do it???
family,I have a secret bank account for my son because his mother will blow it all on cigarettes......
meetup,Feeling very flirty! 19 m here girls hmu! ;)
misc,Yummy :D
personal,"If I've ever took my eyebrows off in front of you, i either really love you or feel completely comfortable being around you"
personal,I'm a guy and I believe a girls character can amplify or mitigate how attractive she is. No amount of beauty can hide stuck up. A kind heart will make their imperfections fade.
misc,Need a guy and a girl for some fun 
personal,I am a loving machine. I just happen to sex.
personal,"I hate how even though im a guy, i always get played by chicks. Its like, ""why? I didnt do anything to deserve this"" and it makes me realize that i will most likely be forever alone"
misc,My cat sits on my lap while I use the restroom...
misc,Anyone got an app I can talk to normal people on?
qna,So be honest how many of you on this are on POF???
meetup,Ok ladies. Need a dinner date. 18 or older. Handsome man. My treat. Who's Down?
personal,My childhood bully molded me to the person I didn't want to become.
personal,I grew up a very independent child and am a very independent adult. I am ashamed to admit that all I want is someone special in my life.
misc,Trying to file my taxes got me stressing
personal,Is it so Hard to trust me! But I think u don't love me! U try to make bad things up about me so it's easy for u to say BYE 
personal,"When I die, I'm donating my body to science fiction"
work,I am the manager of a hotel. One day 11 people came in asking for a double bed room...they said they were willing to sleep on the floor and in the bathroom. Really humanity?
personal,I hate it when i catch feelings for someone I shouldn't ever have. It's such a tease.
meetup,I need a country girl real finest ever I am Arabic
meetup,20 female. Bubbly and easy to talk to. No pervs or dirty chat! Let's go :)
misc,These bags under my eyes? Let's just say I'm tired. Tired of all the lies. Tired of all the hatred. These bags under my eyes? It's because I've cried.
food,Saturday Blarney Burger. Uh.... Fuck yeah.
personal,The simple things in life make me breathe easy: -a fully charged phone -a full tank of gas -arriving somewhere early -smooth jazz instrumentals before bed
school,"I was that kid that got made fun of in highschool, got called loser and waist of space no good for the world. Now I worked my butt off to get to where I am and now the kids from highschool want to be my friends. Like hell no!"
misc,Bubble bath time :)
pop_culture,Bob
meetup,"I want more pen pals, "
